"メーカー品番","仕入先","Digi-Key品番","客先参照品番（任意）","参照名","梱包形態","部品状況","数量","単価","金額","在庫数量","メーカー標準リードタイム","商品概要","RoHS ステータス","鉛フリーステータス","REACHステータス"
"TL072CPWR","Texas Instruments","296-7193-1-ND","","","カット テープ（CT）","アクティブ","3","72.00000","¥216","19930","6 週間","IC OPAMP JFET 2 CIRCUIT 8TSSOP","ROHS3対応","鉛フリー","REACHの影響なし"
"AS4C16M16SA-6TIN","Alliance Memory, Inc.","1450-1253-ND","","","トレイ","アクティブ","1","447.00000","¥447","1800","8 週間","IC DRAM 256M PARALLEL 54TSOP","ROHS3対応","鉛フリー","REACHの影響なし"
"0603N180F500CT","Walsin Technology Corporation","1292-1492-1-ND","","","カット テープ（CT）","アクティブ","4","13.00000","¥52","31050","17 週間","CAP CER 18PF 50V C0G/NP0 0603","ROHS3対応","鉛フリー","Not Available"
"ABLS2-8.000MHZ-D4Y-T","Abracon LLC","535-9864-1-ND","","","カット テープ（CT）","アクティブ","1","53.00000","¥53","39056","11 週間","CRYSTAL 8.0000MHZ 18PF SMD","RoHS対応","鉛フリー","REACHの影響あり"
"RC0603FR-0710KL","Yageo","311-10.0KHRCT-ND","","","カット テープ（CT）","アクティブ","42","2.70000","¥113","53999595","33 週間","RES SMD 10K OHM 1% 1/10W 0603","ROHS3対応","鉛フリー","REACHの影響なし"
"STM32F446ZET6","STMicroelectronics","497-15374-ND","","","トレイ","アクティブ","1","1137.00000","¥1,137","153","12 週間","IC MCU 32BIT 512KB FLASH 144LQFP","ROHS3対応","鉛フリー","REACHの影響なし"
"CC0603KRX7R9BB104","Yageo","311-1344-1-ND","","","カット テープ（CT）","アクティブ","36","8.00000","¥288","13762868","33 週間","CAP CER 0.1UF 50V X7R 0603","ROHS3対応","鉛フリー","REACHの影響なし"
"TMK316BJ106KL-T","Taiyo Yuden","587-1337-1-ND","","","カット テープ（CT）","アクティブ","2","35.00000","¥70","1498979","17 週間","CAP CER 10UF 25V X5R 1206","ROHS3対応","鉛フリー","Not Available"
"UMK316B7225KL-T","Taiyo Yuden","587-2911-1-ND","","","カット テープ（CT）","アクティブ","2","43.00000","¥86","232236","17 週間","CAP CER 2.2UF 50V X7R 1206","ROHS3対応","鉛フリー","Not Available"
"CC0603FRNPO9BN471","Yageo","311-3900-1-ND","","","カット テープ（CT）","アクティブ","4","33.00000","¥132","23012","33 週間","CAP CER 470PF 50V NPO 0603","ROHS3対応","鉛フリー","REACHの影響なし"
